Name,Url,Description,Chains,Twitter,TVL,Chain TVLs,Category
Pirex,https://pirex.io/,Pirex is a product by Redacted which creates liquid wrappers that allow for auto-compounding and the tokenization of future yield/vote events.,"['Ethereum', 'Arbitrum']",redactedcartel,10015296.122280093,"{'Ethereum': 9665760.26322972, 'Arbitrum': 349535.85905037296}",Yield
DeltaPrime,https://deltaprime.io,"DeltaPrime aggregates the best of Avalanche in one DeFi ecosystem. Within this ecosystem investors gain access to extra capital, which they can use in a completely trustless fashion. This way, they multiply their returns with a balanced portfolio, whether through trading, LPing or farming.","['Avalanche', 'Arbitrum']",DeltaPrimeDefi,9969417.690219492,"{'Avalanche': 9705542.126243332, 'Arbitrum': 263875.56397615926}",Leveraged Farming
Overnight DAI+,https://app.overnight.fi/market,Crypto-to-stable LP positions with hedge against crypto price fluctuations,"['Base', 'Optimism', 'Arbitrum']",overnight_fi,9868306.730927976,"{'Optimism': 782693.7519783337, 'Arbitrum': 380084.7585070792, 'Base': 8705528.220442563}",CDP
WOOFi Swap,http://fi.woo.org/,"One DEX to rule all chains - trade and earn like royalty with unmatched execution, cross-chain swaps, and single-sided yields.","['Avalanche', 'Arbitrum', 'Polygon', 'Binance', 'Optimism', 'zkSync Era', 'Base', 'Polygon zkEVM', 'Linea', 'Fantom', 'Ethereum']",_WOOFi,9579667.23512197,"{'Optimism': 1226967.3387367718, 'Optimism-staking': 38755.24066471143, 'Fantom-staking': 173640.63801782555, 'Binance': 1260383.1562647996, 'Binance-staking': 3821066.228966244, 'Linea': 193684.69717878336, 'Avalanche': 2224839.4639683585, 'Ethereum-staking': 4002211.3332389663, 'Arbitrum': 1854542.8339441388, 'Fantom': 0, 'staking': 24161766.92882184, 'Polygon zkEVM': 199132.45105079975, 'Arbitrum-staking': 8170995.94261099, 'Base': 201219.85588297492, 'zkSync Era': 867574.8714606928, 'Avalanche-staking': 5761215.097924427, 'Polygon': 1551322.5666346508, 'Polygon-staking': 2193882.4473986733}",Dexes
Harvest Finance,https://harvest.finance/,Harvest automatically farms the highest yields in DeFi,"['Ethereum', 'Polygon', 'Arbitrum', 'Base']",harvest_finance,9446976.461694758,"{'Ethereum': 8478464.57023691, 'Polygon': 785649.0365346216, 'Arbitrum': 178134.1000455097, 'Base': 4728.754877717229}",Yield Aggregator
GND Protocol,https://gndprotocol.com,Incentivize capital efficiency on Arbitrum Ecosystem. Provide concentrated liquidity on your favorite assets to earn yield.,['Arbitrum'],GNDProtocol,9060948.277041713,"{'Arbitrum-staking': 2396795.059526779, 'Arbitrum': 9060948.277041713, 'staking': 2396795.059526779}",Yield
Clipper,https://clipper.exchange,Clipper is the decentralized exchange (DEX) built to give the self-made crypto trader the best possible prices on small trades (< $10k),"['Ethereum', 'Arbitrum', 'Optimism', 'Polygon', 'Moonbeam']",Clipper_DEX,8945102.753015032,"{'Optimism': 513643.15000495006, 'Ethereum': 7580990.86868707, 'Polygon': 158106.82850271423, 'Arbitrum': 665935.1812905781, 'Moonbeam': 26426.724529719013}",Dexes
Wombex Finance,https://wombex.finance,"Wombex boosts yield for liquidity providers and concentrates governance power across Wombat Exchange.Wombex combines the power of liquidity providers and WOM token holders, supercharging each other and accelerating long-term Wombat growth. For this purpose, Wombex accumulates veWOM and aggregates LPs deposits simultaneously.","['Binance', 'Arbitrum']",WombexFinance,8851882.899424978,"{'Binance': 6681768.361954929, 'Binance-staking': 457636.319263617, 'Arbitrum-staking': 103287.16324771913, 'Arbitrum': 2170114.537470048, 'staking': 560923.4825113361}",Yield
Bunni,https://bunni.pro,"Bunni represents Uniswap v3 LP positions with fungible ERC-20 tokens, which makes it easier to incentivize liquidity and integrate Uniswap liquidity in other apps.","['Ethereum', 'Arbitrum', 'Optimism', 'Polygon']",Timeless_Fi,8783207.679752572,"{'Optimism': 33686.94593770789, 'Ethereum': 8624743.824655376, 'Polygon': 164.88612473164034, 'Arbitrum': 124612.02303475539}",Liquidity manager
Vertex Protocol,https://vertexprotocol.com,"A vertically-integrated DEX on Arbitrum featuring spot, perpetual, and integrated money markets. Universal cross-margin with lightning-fast performance. Take back control.",['Arbitrum'],vertex_protocol,8694184.570754249,{'Arbitrum': 8694184.570754249},Derivatives
RelayChain,https://www.relaychain.com,"Access cross-chain opportunities on the World's Leading Blockchains using Relay's simple, fast, and secure bridge","['Ethereum', 'Arbitrum', 'Metis', 'Binance', 'Polygon', 'Cronos', 'Avalanche', 'Harmony', 'Heco', 'Moonriver', 'Optimism', 'Fantom', 'IoTeX']",relay_chain,8221381.982927746,"{'Optimism': 305.55976538554523, 'Metis': 133949.56609417227, 'Cronos': 18902.483806081953, 'Moonriver': 717.2725070665148, 'Harmony': 8104.711821098672, 'Binance': 125565.91252381199, 'IoTeX': 0, 'Ethereum': 7753710.402689944, 'Heco': 2938.3072434471023, 'Avalanche': 10527.426800242527, 'Polygon': 25764.948919001294, 'Arbitrum': 140894.390909404, 'Fantom': 0.9998480898517406}",Bridge
Thetanuts Finance,https://thetanuts.finance,Thetanuts is a decentralized structured products protocol that helps users gain sustainable yield through various options strategies,"['Ethereum', 'Fantom', 'Polygon', 'Polygon zkEVM', 'Binance', 'Boba', 'Avalanche', 'Arbitrum', 'Aurora']",ThetanutsFi,8210417.183184175,"{'Polygon zkEVM': 148479.82102144085, 'Binance': 141956.70290614336, 'Boba': 43141.317489451474, 'Ethereum': 7147897.202630694, 'Aurora': 2161.8101971852752, 'Avalanche': 30494.37699597395, 'Polygon': 322355.18113360944, 'Arbitrum': 28380.444712433804, 'Fantom': 345550.3260972428}",Options Vault
FilDA,https://filda.io/,Lending market,"['IoTeX', 'Heco', 'Elastos', 'Bittorrent', 'Kava', 'Arbitrum', 'Polygon', 'Binance', 'REI']",FilDAFinance,8054287.712558357,"{'Kava': 1264.093465790057, 'Binance': 165.17463728502747, 'IoTeX': 5582992.446077876, 'Heco': 2244781.699188267, 'Arbitrum': 682.7371584839417, 'borrowed': 2800948.5889971857, 'Heco-borrowed': 761355.4633809741, 'Arbitrum-borrowed': 151.71627408949465, 'REI-borrowed': 101569.2528215315, 'Elastos-borrowed': 930140.3512930201, 'Bittorrent-borrowed': 4353.619295933855, 'Polygon-borrowed': 3.2059635692752915, 'Binance-borrowed': 1.568958187703477, 'Bittorrent': 13047.601401458569, 'Elastos': 211035.56760204, 'Polygon': 301.4539312217242, 'REI': 16.93909593466272, 'IoTeX-borrowed': 1003367.950014286, 'Kava-borrowed': 5.460995593912}",Lending
Reaper Farm,https://www.reaper.farm,"Rapid auto-compounder on the Fantom network. Reap your favorites while you sleep; backed by industry leading analytics, fresh UI, and a dedicated team.","['Optimism', 'Fantom', 'Arbitrum', 'Binance']",Reaper_Farm,7796721.540591944,"{'Binance': 15750.59486675814, 'Optimism': 5897326.656914518, 'Arbitrum': 87255.41277253944, 'Fantom': 1796388.876038129}",Yield Aggregator
Shell Protocol,https://www.shellprotocol.io/,DeFi hub for users & builders. Breakthrough accounting architecture and AMM engine.,['Arbitrum'],ShellProtocol,7757390.932188398,{'Arbitrum': 7757390.932188398},Dexes
PlutusDAO,https://plutusdao.io,Plutus is an Arbitrum-native governance aggregator aiming to maximize users liquidity and rewards while simultaneously aggregating governance behind the PLS token. Plutus’ objective is to become the de-facto Layer 2 governance blackhole for projects with veTokens.,['Arbitrum'],PlutusDAO_io,7573833.990234596,"{'pool2': 39991.584172269584, 'Arbitrum-staking': 292728.66126859724, 'Arbitrum': 7573833.990234596, 'Arbitrum-pool2': 39991.584172269584, 'staking': 292728.66126859724}",Yield
Native,https://native.org,"Native is crypto's invisible DEX layer. Each DEX is owned by an individual project and embedded into that project's UI, with access to liquidity across the entire network.","['Ethereum', 'Binance', 'Arbitrum', 'Polygon', 'Avalanche']",native_fi,7527995.000605293,"{'Binance': 1607101.890085597, 'Ethereum': 4436397.016299321, 'Avalanche': 162931.52729338012, 'Polygon': 426923.32714693015, 'Arbitrum': 894641.2397800644}",Dexes
Hegic,https://www.hegic.co/ ,Hegic is an on-chain peer-to-pool options trading protocol on Arbitrum. You can trade ETH and WBTC ATM / OTM Calls / Puts & One-click Option Strategies on Hegic,"['Arbitrum', 'Ethereum']",HegicOptions,7100585.0682309875,"{'Ethereum': 1285414.492058058, 'Arbitrum': 5815170.576172929}",Options
CREAM Lending,https://cream.finance/,"Money markets, liquid staking and protocol-to-protocol lending","['Ethereum', 'Binance', 'Polygon', 'Arbitrum']",CreamdotFinance,7092103.013326744,"{'Arbitrum-borrowed': 6509.386172698854, 'Polygon-borrowed': 49314.20189499608, 'Binance-borrowed': 520874.4316008015, 'Binance': 1161975.8347816598, 'Ethereum': 5808757.315968245, 'Polygon': 106102.09728962583, 'Arbitrum': 15267.765287213007, 'borrowed': 576698.0196684964}",Lending
Arrakis V2,https://beta.arrakis.finance/vaults,Arrakis V2 is a next-generation market-making infrastructure built on top of Uniswap V3. Its unique functionalities allow the creation and automated execution of sophisticated market-making strategies on Uniswap V3 that previously were only feasible on CEXs.,"['Ethereum', 'Optimism', 'Arbitrum', 'Polygon']",ArrakisFinance,6998907.24316831,"{'Optimism': 893068.3497663556, 'Ethereum': 5092035.32236761, 'Polygon': 146380.15855481266, 'Arbitrum': 867423.4124795318}",Liquidity manager
Rari Capital,https://rari.capital/,"Rari Capital aims to deliver the best yield to all users with various risk tolerances. Easy, sustainable and built for the future.","['Ethereum', 'Arbitrum']",RariCapital,6994552.476833734,"{'Arbitrum-borrowed': 288481.963254378, 'pool2': 52119.241511722525, 'Ethereum-pool2': 52119.241511722525, 'Ethereum': 6994157.0979152145, 'Ethereum-borrowed': 0, 'Arbitrum': 395.37891851960376, 'borrowed': 288481.963254378}",Yield Aggregator
Granary Finance,https://granary.finance/,"Granary Finance is a decentralized, user-driven borrowing and lending liquidity market inspired by AAVE.","['Optimism', 'Arbitrum', 'Base', 'Fantom', 'Metis', 'Avalanche', 'Ethereum', 'Binance']",GranaryFinance,6932000.730172535,"{'Optimism': 5150216.698852344, 'Metis': 299735.3248458778, 'Arbitrum-borrowed': 249455.4199824806, 'Binance-borrowed': 6299.929378258692, 'Metis-borrowed': 261995.0969780094, 'Base': 389508.9360086714, 'Binance': 15964.34147135403, 'Fantom-borrowed': 139553.91223651572, 'Base-borrowed': 208462.18706608302, 'Ethereum': 16721.535671486592, 'Optimism-borrowed': 2429389.495767621, 'Avalanche': 61356.178209695565, 'Ethereum-borrowed': 7118.422719153141, 'Arbitrum': 673553.7439098704, 'borrowed': 3324517.173604909, 'Fantom': 324943.9712032357, 'Avalanche-borrowed': 22242.709476787208}",Lending
Archi Finance,https://archi.finance,Archi Finance is composable leveraged yield farming protocol. It has two sides to it: passive liquidity providers who earns low risk interests by supplying single-asset liquidity; and degen farmers who borrow those assets to achieve a higher APY. GMX will be the platform Archi integrated in v1.,['Arbitrum'],archi_fi,6587774.0168756675,"{'Arbitrum-borrowed': 4298940.018134451, 'Arbitrum': 6587774.0168756675, 'borrowed': 4298940.018134451}",Leveraged Farming
Magpie,https://www.magpiexyz.io,Magpie is a Multi-chain DeFi platform providing Yield & veTokenomics boosting services.,"['Binance', 'Arbitrum']",magpiexyz_io,6537965.258308779,"{'Binance': 4297222.796526765, 'Binance-staking': 2254168.1517483275, 'Arbitrum-staking': 1544374.2233144604, 'Arbitrum': 2240742.4617820135, 'staking': 3798542.375062788}",Yield
Lodestar V1,https://www.lodestarfinance.io,Lodestar Finance is an algorithmic borrowing and lending protocol that aims to bring the critical DeFi primitive of decentralized money markets to Arbitrum communities.,['Arbitrum'],LodestarFinance,6295171.031716534,"{'Arbitrum-borrowed': 6715021.684565264, 'Arbitrum': 6295171.031716534, 'borrowed': 6715021.684565264}",Lending
Range Protocol,https://www.rangeprotocol.com,Permissionless Infrastructure for Smart Money Management.,"['Ethereum', 'Arbitrum', 'Binance', 'Polygon', 'Base', 'Mantle']",Range_Protocol,6162737.961992182,"{'Mantle': 13.566044340268503, 'Base': 19.50688501298832, 'Binance': 2708.514794497034, 'Ethereum': 6105871.492517335, 'Polygon': 2034.0507272321693, 'Arbitrum': 52090.831023764404}",Liquidity manager
Wan Bridge,https://bridge.wanchain.org,"Wanchain, the Wide Area Network chain, is the worlds premier decentralised blockchain interoperability solution.","['Ethereum', 'Ripple', 'Tron', 'Polygon', 'Wanchain', 'Binance', 'Optimism', 'Avalanche', 'Astar', 'OKExChain', 'Arbitrum', 'Litecoin', 'Moonriver', 'Polkadot', 'Fantom', 'Doge', 'XDC', 'Moonbeam', 'Bitcoin']",wanchain_org,6025928.395901863,"{'Optimism': 277536.2643167234, 'Wanchain': 530712.3090354286, 'Moonriver': 13830.498525610019, 'Binance': 483980.63582845946, 'Ethereum': 1624533.914951647, 'Astar': 151208.30077192042, 'XDC': 717.0429460640579, 'Avalanche': 209959.57362336572, 'Doge': 3060.648661809395, 'Arbitrum': 31630.94526343172, 'Tron': 657101.9620140437, 'Ripple': 1405878.731673327, 'Fantom': 9981.975096921951, 'Litecoin': 16635.372425950198, 'OKExChain': 48294.378200161016, 'Moonbeam': 87.71097890281612, 'Polygon': 549125.1167566314, 'Polkadot': 11653.014831464858, 'Bitcoin': 0}",Bridge
Aevo,https://www.aevo.xyz,Trade crypto options on the world's first high-performance decentralized options exchange.,"['Ethereum', 'Arbitrum', 'Optimism']",aevoxyz,5932734.215000128,"{'Optimism': 30361.513348918834, 'Ethereum': 5871573.98852312, 'Arbitrum': 30798.713128089184}",Options
UNCX Network V3,https://univ3.uncx.network/lock/univ3/explore,Liquidity Locked Tokens Locked with V3.,"['Ethereum', 'Polygon', 'Arbitrum', 'Binance']",UNCX_token,5918031.470568254,"{'Binance': 171456.62140071145, 'Ethereum': 4063572.1017079465, 'Polygon': 1413489.5902058326, 'Arbitrum': 269513.1572537629}",Launchpad
NerveBridge,https://nerve.network/,"NerveNetwork is a Decentralized Digital Asset Service Network.It is an asset relay network connecting multiple blockchains, a completely gas-free blockchain.","['Nuls', 'Ethereum', 'Binance', 'ENULS', 'Polygon', 'Tron', 'OKExChain', 'Optimism', 'Avalanche', 'Linea', 'EthereumClassic', 'EOS EVM', 'smartBCH', 'Arbitrum', 'REI', 'Heco', 'Fantom', 'Kava', 'Kucoin', 'Harmony', 'zkSync Era', 'Polygon zkEVM', 'IoTeX', 'EthereumPoW', 'Celo', 'Cronos', 'Klaytn', 'Metis', 'Base']",nerve_network,5467584.4073160915,"{'Optimism': 53862.01349050003, 'Metis': 0, 'Kava': 3302.6384123509742, 'Klaytn': 0.0631915313507791, 'Harmony': 1994.8836317918845, 'Nuls': 4405376.7313709995, 'Binance': 191180.68840094152, 'IoTeX': 17.778357637625, 'Ethereum': 315100.8443563389, 'Linea': 14113.870317346144, 'Heco': 3758.9927504721522, 'EthereumClassic': 10220.48, 'Avalanche': 24980.94158217864, 'Celo': 1.306659, 'Arbitrum': 7343.5072298027435, 'Tron': 74844.76271229248, 'Fantom': 3486.71641620597, 'Polygon zkEVM': 141.095614350928, 'Cronos': 0.098406259051745, 'OKExChain': 68623.92783070683, 'EOS EVM': 8986.70148555226, 'ENULS': 154116.0499893546, 'Kucoin': 2191.800654505892, 'smartBCH': 7590.859988784375, 'Base': 0, 'zkSync Era': 419.7335302131095, 'EthereumPoW': 2.7519190000000004, 'Polygon': 110823.93062135282, 'REI': 5101.238396621443}",Bridge
WePiggy,https://www.wepiggy.com/,"WePiggy is an open source, non-custodial crypto asset lending market protocol.
","['Ethereum', 'OKExChain', 'Arbitrum', 'Binance', 'Optimism', 'Harmony', 'Polygon', 'Moonbeam', 'Moonriver', 'Aurora', 'Oasis', 'Heco']",wepiggydotcom,5297881.2189986035,"{'Optimism': 424844.9552737053, 'Oasis-borrowed': 0, 'Moonriver': 8130.270348918235, 'Harmony': 51417.833414379194, 'Harmony-borrowed': 41921.072109196706, 'Binance': 652140.6806926449, 'Ethereum': 2332688.538430264, 'Oasis': 0, 'Heco': 0, 'Ethereum-borrowed': 2716427.0295083337, 'Arbitrum': 745969.791900683, 'borrowed': 4179199.422035842, 'Heco-borrowed': 0, 'Moonbeam-borrowed': 6792.261430265271, 'OKExChain': 1027182.0195139643, 'Arbitrum-borrowed': 421412.0989201317, 'Polygon-borrowed': 10298.6127583542, 'Binance-borrowed': 380626.28934819973, 'Moonriver-borrowed': 14991.860673844927, 'Aurora-borrowed': 168.89081391091202, 'Moonbeam': 21531.85541956449, 'Aurora': 1727.5874442642, 'Optimism-borrowed': 192366.5966563685, 'Polygon': 32247.686560215923, 'OKExChain-borrowed': 394194.70981723646}",Lending
DefiEdge,https://www.defiedge.io/,Permissionless Liquidity Management on Uniswap V3. DefiEdge provides the smartest solution to deploy liquidity and optimise yields on Uniswap V3,"['Ethereum', 'Arbitrum', 'Optimism', 'Polygon', 'Binance']",DefiEdge,5178026.398141377,"{'Binance': 196757.14168795355, 'Optimism': 1083349.442124161, 'Ethereum': 2177130.513840452, 'Polygon': 291527.709750882, 'Arbitrum': 1429261.5907379282}",Liquidity manager
Dolomite,https://dolomite.io,A next-gen money market and margin trading protocol on Arbitrum.,['Arbitrum'],Dolomite_io,5156804.131551724,"{'Arbitrum-borrowed': 2207321.4185001375, 'Arbitrum': 5156804.131551724, 'borrowed': 2207321.4185001375}",Lending
Sablier V1,https://sablier.finance/,The protocol for real-time finance.,"['Ethereum', 'Arbitrum', 'Polygon', 'Binance', 'Ronin', 'Optimism', 'Avalanche']",Sablier,4842615.876313564,"{'Optimism': 3926.8897212297056, 'Polygon-vesting': 54707.98330299653, 'Ethereum-vesting': 93247264.3784915, 'Avalanche-vesting': 156.4530202304, 'Binance': 12564.382380371448, 'Ethereum': 4235752.518623621, 'vesting': 93305376.31499213, 'Avalanche': 257.13777369555555, 'Polygon': 235002.946793329, 'Arbitrum-vesting': 2974.62276, 'Ronin': 6180.270631711946, 'Arbitrum': 348931.7303896053, 'Optimism-vesting': 31.700634063399374, 'Binance-vesting': 241.1767833431955}",Payments
Chronos V1,https://app.chronos.exchange/,Chronos is a community-owned decentralized exchange (DEX) and liquidity provider constructed on Arbitrum,['Arbitrum'],ChronosFi_,4705859.8904948225,{'Arbitrum': 4705859.8904948225},Dexes
Mummy Finance,https://www.mummy.finance,Bring unparalleled Swap and Perpetual trading experience to FantomFDN users,"['Optimism', 'Fantom', 'Arbitrum']",mummyftm,4517430.259639716,"{'Optimism': 2591982.4394670804, 'Optimism-staking': 9693.182203483108, 'Fantom-staking': 94999.61941202651, 'Arbitrum-staking': 0, 'Arbitrum': 286824.94632373395, 'Fantom': 1638622.8738489016, 'staking': 104692.80161550963}",Derivatives
DSU Money,https://app.dsu.money,"DSU is a trust-minimized, fully backed, & collateral-efficient stablecoin.","['Arbitrum', 'Ethereum']",dsumoney,4377532.15949331,"{'Ethereum': 222893.3567322931, 'Arbitrum': 4154638.802761017}",CDP
Interport Finance,https://interport.fi,"Interport Finance is a DeFi platform enabling cross-chain and single-chain swaps with the best trading rates, achieved through Meta DEX aggregation. By utilizing cross-chain messaging, Interport eliminates the need for traditional bridges, streamlining the process for asset swaps between different blockchains","['Ethereum', 'Binance', 'Arbitrum', 'zkSync Era', 'Polygon', 'Avalanche', 'Base', 'Polygon zkEVM', 'Fantom']",InterportFi,4234739.261944087,"{'Polygon zkEVM': 181920.69037614262, 'pool2': 2269.594131461116, 'Base': 231625.3939824851, 'Ethereum-pool2': 2269.594131461116, 'Binance': 706105.4721133267, 'Ethereum': 868298.0105771958, 'zkSync Era': 625037.694096, 'Avalanche': 418997.4443822113, 'Ethereum-staking': 86728.59178869613, 'Polygon': 510529.7814433819, 'Arbitrum': 692224.7749733445, 'Fantom': 0, 'staking': 86728.59178869613}",Cross Chain
Pickle,https://pickle.finance/,"Pickle Finance is a yield aggregator, auto-compounding users LP positions saving them time and money. The governance token PICKLE can be staked as DILL, to earn a share of the protocols revenues and boost users farm APY","['Ethereum', 'Optimism', 'Arbitrum', 'Polygon', 'Aurora', 'Metis', 'Moonriver', 'Moonbeam', 'OKExChain', 'Cronos', 'Kava', 'Harmony']",picklefinance,4227833.111217351,"{'Optimism': 459668.91480867, 'Metis': 5900.494485, 'Kava': 0.111914544, 'Moonriver': 3962.6132174430004, 'Polygon-pool2': 2021.923094679, 'Harmony': 0, 'Ethereum': 3447446.9215436275, 'Ethereum-staking': 1717499.654900244, 'Arbitrum': 176064.02956815303, 'staking': 1717499.654900244, 'Cronos': 465.3047014200001, 'OKExChain': 735.495388509, 'pool2': 168396.97036525726, 'Moonbeam': 3511.038032403, 'Ethereum-pool2': 153218.30552982228, 'Aurora': 12637.288386306001, 'Polygon': 117440.899171275, 'Arbitrum-pool2': 13156.741740756}",Yield Aggregator
Perennial,https://perennial.finance,"Perennial is a decentralized derivatives protocol built from first-principles to be a powerful, flexible, and composable primitive that can scale to meet the needs of DeFi traders, liquidity providers, and developers.","['Arbitrum', 'Ethereum']",perenniallabs,4150450.7852466716,"{'Ethereum': 0, 'Arbitrum': 4150450.7852466716}",Derivatives
Sushi Trident,https://www.sushi.com/swap,TRIDENT 🔱 is a newly developed AMM and routing system from SushiSwap (Sushi).,"['Bittorrent', 'Polygon', 'Optimism', 'Arbitrum', 'Metis', 'Binance', 'Avalanche', 'Kava']",SushiSwap,4133469.036444798,"{'Optimism': 315133.9109503775, 'Metis': 37006.08390610902, 'Kava': 0, 'Bittorrent': 2900928.4572323505, 'Binance': 21082.265252943755, 'Avalanche': 15782.732384024108, 'Polygon': 695864.249807959, 'Arbitrum': 147671.3369110342}",Dexes
Tarot,https://www.tarot.to,Protocol users can deposit LP tokens in Tarot Vaults and receive Vault Tokens. The deposited LP tokens are then farmed and earned rewards are automatically converted to additional LP tokens and reinvested.,"['Optimism', 'Fantom', 'Arbitrum', 'zkSync Era', 'Kava', 'Binance', 'Avalanche', 'Canto', 'Ethereum', 'Polygon']",TarotFinance,3862988.264645494,"{'Optimism': 1803118.6986495834, 'Kava': 70562.00041330676, 'Binance': 65611.42290087705, 'Ethereum': 2052.920541392156, 'Avalanche': 10145.851876250705, 'Ethereum-borrowed': 993.4476749738402, 'Arbitrum': 158630.55528087151, 'borrowed': 11093184.759540923, 'Fantom': 1659720.3717304438, 'Arbitrum-borrowed': 28351.933924238107, 'Polygon-borrowed': 3.3340661985420725e-07, 'Binance-borrowed': 5029.273997033462, 'Fantom-borrowed': 10470662.905681938, 'zkSync Era': 89969.2476585935, 'Canto-borrowed': 3.382510625571614, 'Optimism-borrowed': 566489.9823157063, 'Polygon': 847.6502878402636, 'zkSync Era-borrowed': 9708.671165573483, 'Kava-borrowed': 9578.333740310114, 'Canto': 2329.545306334795, 'Avalanche-borrowed': 2366.8285301916158}",Lending
Azuro,https://azuro.org,"Azuro is an infrastructure & liquidity layer for on-chain betting. It utilizes a new Liquidity Pool design called the “Liquidity Tree,” which creates and maintains market liquidity.","['Polygon', 'xDai', 'Arbitrum']",azuroprotocol,3734751.430548632,"{'xDai': 916114.7898419002, 'Polygon': 2566906.524675305, 'Arbitrum': 251730.1160314268}",Prediction Market
Symbiosis,https://symbiosis.finance,"Symbiosis aggregates decentralized exchange liquidity across any EVM and non-EVM networks. Swap any token and transfer liquidity. Yes, any.","['Ethereum', 'zkSync Era', 'Polygon', 'Binance', 'Linea', 'Boba_Bnb', 'Boba', 'Base', 'Arbitrum', 'Mantle', 'Avalanche', 'Optimism', 'Arbitrum Nova', 'Polygon zkEVM', 'Telos', 'Aurora', 'Boba_Avax', 'Kava']",symbiosis_fi,3653445.223467297,"{'Optimism': 101245.92395835728, 'Kava': 0, 'Binance': 447609.35469347873, 'Ethereum': 784072.3080645285, 'Linea': 205202.29219796957, 'Avalanche': 105300.75404262428, 'Telos': 172.36014593256002, 'Arbitrum': 124185.84664226315, 'Polygon zkEVM': 24461.869792268204, 'Mantle': 108061.27006565777, 'Arbitrum Nova': 39346.47903538571, 'Boba_Bnb': 189276.51803540246, 'Base': 133651.8704354998, 'Boba': 151055.86932570642, 'Boba_Avax': 1.8177503654579998, 'zkSync Era': 680608.16827645, 'Aurora': 4.328442, 'Polygon': 559188.1925634069}",Cross Chain
Umami Finance,https://umami.finance/,"Sustainable, Risk-Hedged Yields on Arbitrum.",['Arbitrum'],UmamiDao,3626717.9672506754,"{'Arbitrum-staking': 2860922.2317036623, 'Arbitrum': 3626717.9672506754, 'staking': 2860922.2317036623}",Yield
Aark Digital,https://app.aark.digital/,Aark Digital is a Peer-to-Pool perpetuals DEX built on Arbitrum,['Arbitrum'],Aark_Digital,3580263.343922726,{'Arbitrum': 3580263.343922726},Derivatives
WINR Protocol,https://winr.games,"The WINR Protocol is a fully autonomous liquidity and incentive infrastructure explicitly built for on-chain games requiring a counterparty asset vault. The Protocol pioneers the transition of e-gaming to web3 by providing smart contract tools, a liquidity engine, and an incentive framework to builders.",['Arbitrum'],WINRProtocol,3496871.03492491,{'Arbitrum': 3496871.03492491},Prediction Market
Premia V2,https://premia.finance/,"Premia's automated options market enables best-in-class pricing based on realtime supply and demand, bringing fully-featured peer-to-pool trading and capital efficiency to DeFi options.","['Arbitrum', 'Optimism', 'Ethereum', 'Fantom', 'Binance']",PremiaFinance,3427405.1307478854,"{'Optimism': 638105.6577266096, 'Binance': 8792.96138307943, 'Ethereum': 556102.1411520273, 'Ethereum-staking': 2245870.991402602, 'Arbitrum': 2178208.7950690365, 'Fantom': 46195.57541713246, 'staking': 2245870.991402602}",Options
Ramses V2,https://cl.ramses.exchange/,"RAMSES V2 will be taking the ve(3,3) DEX model to another iteration of innovation, by utilizing UniswapV3's concentrated liquidity design in junction with the original solidly model",['Arbitrum'],RamsesExchange,3420677.623978993,{'Arbitrum': 3420677.623978993},Dexes
MugenFinance,https://www.mugenfinance.com,"Mugen is transforming the yield management industry by connecting multiple public Decentralized Apps (DApps) and the messaging protocol of Layer Zero. Allowing anyone to generate yield by simply holding Mugen. Representing a variety of yield sources from different chains, with different strategies.",['Arbitrum'],MugenFinance,3353017.486798021,"{'Arbitrum-staking': 1689985.0136975183, 'Arbitrum': 3353017.486798021, 'staking': 1689985.0136975183}",Yield Aggregator
XY Finance,https://xy.finance,XY Finance is One-Stop Cross-Chain Swap Aggregator for DeFi & Metaverse.,"['zkSync Era', 'Linea', 'Ethereum', 'Arbitrum', 'Base', 'Polygon', 'Cronos', 'Optimism', 'Avalanche', 'Polygon zkEVM', 'Binance', 'Klaytn', 'Kucoin', 'ThunderCore', 'Astar', 'Moonriver', 'WEMIX', 'Fantom']",xyfinance,3291383.049495515,"{'Optimism': 210743.9496568687, 'Moonriver': 845.8154110578571, 'Klaytn': 51871.40474445428, 'ThunderCore': 31328.158595552704, 'Binance': 90935.92575975716, 'Ethereum': 391235.5946235498, 'Astar': 17071.906417165545, 'Linea': 413143.93163775105, 'Avalanche': 173120.18030752084, 'Arbitrum': 274098.2568147814, 'WEMIX': 0, 'Fantom': 0, 'Polygon zkEVM': 157041.45080803073, 'Cronos': 212494.92405755864, 'Kucoin': 42773.3592978814, 'Base': 259851.08180483326, 'zkSync Era': 706805.4346932666, 'Polygon': 258021.67486548412}",Cross Chain
OpenLeverage,https://openleverage.finance,OpenLeverage is a permissionless margin trading protocol that enables traders or other applications to be long or short on any trading pair on DEXs efficiently and securely.,"['Binance', 'Arbitrum', 'Ethereum', 'Kucoin']",OpenLeverage,3122801.9709905838,"{'Binance': 2924853.8471766664, 'Ethereum': 26333.22100620505, 'Kucoin': 20094.640893193195, 'Arbitrum': 151520.26191451898}",Dexes
